source	target	weight
48237779	49526681	.47
48237779	49802163	.83
48237779	50134205	.64
48237779	48506610	.07
48237779	48991372	.60
48237779	48947314	.73
48237779	49071267	.81
48237779	50798592	.51
48237779	50307628	.60
48237779	51000252	.91
48237779	50455347	.59
48237779	49446163	.48
48237779	53258297	.82
48237779	50279192	.75
48237779	48537188	.66
48237779	49182864	.84
48237779	50230927	.68
48237779	49319272	.84
48237779	50353164	.55
48237779	49410921	.08
48237779	48525216	.84
48237779	50374194	.76
48237779	48343853	.84
48237779	48996054	.72
48237779	51536262	.66
48237779	48468957	.72
48237779	53578372	.53
48237779	48506606	.87
48237779	48496914	.62
48237779	48406628	.07
48237779	50924901	.81
48237779	48557390	.64
48237779	49899641	.72
48237779	50208642	.44
48237779	49878988	.84
48237779	50437328	.78
48237779	48613992	.07
48237779	49078286	.72
48237779	50024565	.66
48237779	50572363	.65
48237779	49701587	.83
48237779	50620434	.64
48237779	48493652	.79
48237779	48182912	.66
48237779	51299944	.84
48237779	50415158	.60
48237779	49141874	.08
48237779	49145250	.66
48237779	50200859	.75
48237779	50328751	.81
48237779	50203241	.78
48237779	48572621	.59
48237779	50720563	.66
48237779	50842115	.61
48237779	48075688	.82
48237779	48668701	.78
48237779	51013313	.75
48237779	48153669	.84
48237779	50221618	.72
48237779	50306603	.66
48237779	50485433	.47
48237779	51096781	.66
48237779	49905882	.55
48237779	49918503	.82
48237779	49031113	.61
48237779	48521971	.92
48237779	48436145	.84
48237779	48802074	.82
48237779	50462402	.58
48237779	49102724	.59
48237779	48092880	.84
48237779	48101046	.08
48237779	49776562	.73
48237779	48394003	.55
48237779	50228138	.90
48237779	52047548	.80
48237779	49537782	.63
48237779	50192815	.62
48237779	50772529	.74
48237779	51605737	.90
48237779	50270330	.66
48237779	50220854	.80
48237779	48183677	.74
48237779	50222738	.75
48237779	48187362	.60
48237779	48579863	.84
48237779	49030977	.61
48237779	50165010	.64
48237779	49148753	.48
48237779	48048299	.66
48237779	51009331	.66
48237779	50232874	.84
48237779	48626005	.71
48237779	48184107	.58
48237779	50970446	.60
48237779	48280400	.71
48237779	52607924	.67
48237779	50174584	.66
48237779	53096996	.65
48237779	50013398	.83
48237779	49811177	.77
48237779	48226868	.66
48237779	48100238	.64
48237779	50290197	.56
48237779	48472771	.07
48237779	48970553	.81
48237779	49840152	.55
48237779	50333003	.65
48237779	48248832	.08
49208056	50209122	.12
49208056	48558972	.06
49208056	48943416	.34
49208056	49925484	.08
49208056	48255269	.23
49208056	49894620	.28
49208056	49768774	.11
49208056	48439865	.08
49208056	48298361	.14
49208056	49348365	.29
49208056	48428201	.57
49208056	49415958	.12
49208056	48450262	.16
49208056	50508334	.12
49208056	53578201	.35
49208056	50088142	.06
49208056	48987512	.43
49208056	49643536	.16
49208056	50134205	.11
49208056	48590579	.12
49208056	48345315	.41
49208056	49430537	.06
49208056	50243901	.27
49208056	51928685	.04
49208056	50590700	.10
49208056	51554366	.19
49208056	49432666	.03
49208056	53578372	.11
49208056	50316693	.32
49208056	49661521	.42
49208056	50597159	.35
49208056	48956927	.10
